Bins,p1bpi,p1l2y,p1ubq,p1ucs,p1vii,p1wm3,p2oed,p2ppn,p7skw
0,0,0,0,0,0,0,0,0,0
0.1,0,0,0,0,0,0,0,0,0
0.2,0,0,0,0,0,0,0,0,0
0.3,0,0,0,0,0,0,0,0,0
0.4,0,0,0,0,0,0,0,0,0
0.5,0,0,0,0,0,0,0,0,0
0.6,0,0,0,0.0016,0,0,0,0,0
0.7,0,0.0004,0,0.0204,0,0,0.0004,0,0
0.8,0,0,0,0.1196,0,0,0.0004,0.0016,0
0.9,0.0008,0,0,0.1956,0,0,0,0,0
1,0.0012,0.0016,0.0004,0.1644,0,0,0.0008,0.0008,0
1.1,0.0012,0.0084,0.0004,0.1236,0,0.0004,0.0012,0.0012,0
1.2,0.0116,0.0248,0.0008,0.0724,0,0.004,0.0016,0.0004,0
1.3,0.0116,0.0252,0.0036,0.0456,0,0.0192,0.0008,0.0008,0
1.4,0.0256,0.0144,0.016,0.0512,0.0012,0.0192,0.0012,0.0008,0
1.5,0.1844,0.0052,0.014,0.0368,0.0004,0.0048,0.0012,0.0084,0
1.6,0.3492,0.0076,0.0104,0.0288,0.006,0.0008,0.0116,0.0128,0
1.7,0.3056,0.0192,0.1188,0.0264,0.0128,0.0008,0.0536,0.0068,0
1.8,0.096,0.0256,0.1112,0.034,0.0048,0.0004,0.1472,0.0064,0.0004
1.9,0.0128,0.0044,0.0112,0.0288,0.0016,0,0.1836,0.0388,0
2,0,0.0004,0.112,0.0272,0.0004,0.0004,0.1944,0.1984,0
2.1,0,0.0224,0.4916,0.012,0.0036,0.002,0.1184,0.4876,0.002
2.2,0,0.3916,0.1092,0.0056,0.0248,0.0008,0.0644,0.098,0.006
2.3,0,0.4224,0.0004,0.0036,0.0868,0.0032,0.0516,0.016,0.0164
2.4,0,0.0264,0,0.0024,0.1416,0.0156,0.0432,0.0912,0.0016
2.5,0,0,0,0,0.1816,0.0144,0.0312,0.03,0.0024
2.6,0,0,0,0,0.2408,0.0432,0.0276,0,0.0068
2.7,0,0,0,0,0.136,0.0056,0.0244,0,0.0668
2.8,0,0,0,0,0.0272,0.004,0.0136,0,0.8456
2.9,0,0,0,0,0.0016,0.062,0.0104,0,0.052
3,0,0,0,0,0.0008,0.0516,0.0104,0,0
3.1,0,0,0,0,0.0024,0.1044,0.0048,0,0
3.2,0,0,0,0,0.0116,0.0764,0.0016,0,0
3.3,0,0,0,0,0.0292,0.1968,0,0,0
3.4,0,0,0,0,0.0568,0.184,0.0004,0,0
3.5,0,0,0,0,0.0256,0.1484,0,0,0
3.6,0,0,0,0,0.0024,0.0376,0,0,0
3.7,0,0,0,0,0,0,0,0,0
3.8,0,0,0,0,0,0,0,0,0
3.9,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0
